날짜,DB숙소,국민체육센터,종합운동장,종합체육관,치악체육관
2026-06-01,28.67,25.25,23.69,23.84,23.49
2026-06-02,28.89,24.74,23.8,23.99,23.9
2026-06-03,29.41,25.53,24.3,24.14,23.67
2026-06-04,29.46,24.9,24.34,24.49,23.62
2026-06-05,29.28,24.75,23.94,24.53,23.66
2026-06-06,29.26,25.01,23.51,24.06,22.96
2026-06-07,29.19,25.06,23.79,24.09,22.76
2026-06-08,29.0,25.56,23.49,24.0,23.02
2026-06-09,29.08,25.05,23.31,23.77,22.67
2026-06-10,29.05,24.71,23.32,23.61,22.43
2026-06-11,28.87,24.49,23.18,23.21,22.2
2026-06-12,28.86,24.3,22.96,22.58,22.38
2026-06-13,29.37,24.69,23.33,22.74,22.75
2026-06-14,29.21,24.88,23.72,22.91,22.21
2026-06-15,29.3,25.21,23.56,23.15,22.52
2026-06-16,28.17,25.13,24.31,23.6,22.92
2026-06-17,27.75,25.31,25.0,24.24,23.31
2026-06-18,27.35,25.28,25.57,24.63,23.47
2026-06-19,27.19,25.48,25.93,24.86,24.35
2026-06-20,27.4,25.23,25.23,25.02,23.52
2026-06-21,27.35,25.25,24.14,24.5,23.29
2026-06-22,26.27,25.72,24.12,24.51,23.36
2026-06-23,26.13,25.32,24.13,24.72,23.4
2026-06-24,25.88,24.7,24.3,24.93,23.31
2026-06-25,25.46,24.44,24.27,25.24,23.52
2026-06-26,25.48,24.73,24.16,24.87,23.66
2026-06-27,26.74,25.6,24.57,24.64,23.55
2026-06-28,27.32,25.41,24.96,24.88,23.43
2026-06-29,26.51,26.03,25.43,25.19,23.8
2026-06-30,26.39,25.7,25.91,25.64,24.04
