날짜,국민체육센터 지하,국민체육센터2층
2026-06-01,25.76,26.59
2026-06-02,25.16,27.11
2026-06-03,25.57,27.21
2026-06-04,25.3,27.6
2026-06-05,24.98,27.29
2026-06-06,25.18,27.05
2026-06-07,25.55,27.09
2026-06-08,25.94,26.74
2026-06-09,25.52,26.77
2026-06-10,25.09,26.51
2026-06-11,24.88,26.37
2026-06-12,24.61,26.37
2026-06-13,24.71,26.39
2026-06-14,25.31,26.78
2026-06-15,25.42,26.94
2026-06-16,25.36,27.38
2026-06-17,25.5,27.98
2026-06-18,25.27,27.86
2026-06-19,25.71,28.39
2026-06-20,26.16,27.59
2026-06-21,25.95,27.37
2026-06-22,25.85,27.31
2026-06-23,25.79,27.43
2026-06-24,25.12,27.53
2026-06-25,25.09,27.3
2026-06-26,25.19,27.22
2026-06-27,25.28,27.43
2026-06-28,25.65,27.93
2026-06-29,25.94,28.5
2026-06-30,25.95,28.56
