날짜,사무공간,휴식/대기공간,기타공간
2026-05-01,0,0,0
2026-05-02,0,0,0
2026-05-03,0,0,0
2026-05-04,0,0,0
2026-05-05,0,0,0
2026-05-06,0,0,0
2026-05-07,0,0,0
2026-05-08,0,0,0
2026-05-09,0,0,0
2026-05-10,0,0,0
2026-05-11,1,0,0
2026-05-12,0,0,0
2026-05-13,0,0,0
2026-05-14,2.15,0,0
2026-05-15,2.7,0,0
2026-05-16,4.57,0,0
2026-05-17,5.6,0,0
2026-05-18,3.1,0,0
2026-05-19,4.37,0,0
2026-05-20,0,0,0
2026-05-21,0,0,0
2026-05-22,1.03,0,0
2026-05-23,2.66,0,0
2026-05-24,0,0,0
2026-05-25,0,0,0
2026-05-26,3.22,0,0
2026-05-27,1.63,0,0
2026-05-28,0,0,0
2026-05-29,3.78,0,5.52
2026-05-30,0,0,12.03
2026-05-31,5.64,0,12.08
