날짜,1층,2층,지하
2026-06-01,1.3,0.2,1.9
2026-06-02,1.2,0.0,1.9
2026-06-03,1.1,0.1,1.7
2026-06-04,1.2,0.2,1.5
2026-06-05,0.7,0.4,2.0
2026-06-06,0,0,0
2026-06-07,0,0,0
2026-06-08,1.0,0.1,2.2
2026-06-09,0.8,0.2,1.3
2026-06-10,1.0,0.6,1.5
2026-06-11,1.3,0.0,2.0
2026-06-12,0.8,0.4,2.0
2026-06-13,0,0,0
2026-06-14,0,0,0
2026-06-15,0.6,0.4,2.2
2026-06-16,0.8,0,1.5
2026-06-17,0.6,0.0,1.7
2026-06-18,0.9,0.0,1.6
2026-06-19,0.8,0.6,2.0
2026-06-20,0,0,0
2026-06-21,0,0,0
2026-06-22,0.6,0.4,1.4
2026-06-23,1.0,0,2.1
2026-06-24,0.8,0.5,1.4
2026-06-25,1.4,0.5,2.1
2026-06-26,1.1,0.1,1.7
2026-06-27,0,0,0
2026-06-28,0,0,0
2026-06-29,1.0,0.2,1.3
2026-06-30,1.0,0.7,1.5
