날짜,사무실,휴게공간,VIP실
2026-06-01,1.3,1.5,0.8
2026-06-02,1.5,1.3,0.9
2026-06-03,1.5,1.3,1.0
2026-06-04,2.0,1.3,1.1
2026-06-05,1.7,1.5,0.8
2026-06-06,0,0,0
2026-06-07,0,0,0
2026-06-08,1.3,1.4,1.1
2026-06-09,1.4,1.0,0.5
2026-06-10,2.1,1.1,0.5
2026-06-11,1.4,1.4,1.0
2026-06-12,1.8,1.1,0.3
2026-06-13,0,0,0
2026-06-14,0,0,0
2026-06-15,1.7,1.7,3.6
2026-06-16,1.6,1.7,4.2
2026-06-17,1.6,1.1,4.1
2026-06-18,2.1,1.6,1.2
2026-06-19,1.5,0.9,1.2
2026-06-20,0,0,0
2026-06-21,0,0,0
2026-06-22,1.9,1.2,0.6
2026-06-23,2.0,1.3,1.1
2026-06-24,1.8,1.3,0.5
2026-06-25,1.5,1.3,0.9
2026-06-26,1.4,1.2,0.6
2026-06-27,0,0,0
2026-06-28,0,0,0
2026-06-29,1.6,0.9,1.1
2026-06-30,1.3,1.6,0.7
