날짜,체육사업부 사무실,휴게공간
2026-05-01,3.19,0.08
2026-05-02,0.96,0.12
2026-05-03,0.56,2.5
2026-05-04,0.04,0.83
2026-05-05,0,0
2026-05-06,0.83,3.29
2026-05-07,0.77,0.29
2026-05-08,0.83,0.58
2026-05-09,0.38,0.04
2026-05-10,0.48,0.25
2026-05-11,0,0.79
2026-05-12,0,0.38
2026-05-13,0.88,1.25
2026-05-14,0.73,1.12
2026-05-15,3.65,2.29
2026-05-16,1.4,1.75
2026-05-17,1.44,0.5
2026-05-18,4.65,0.71
2026-05-19,4.38,0.92
2026-05-20,5.75,2.12
2026-05-21,3.67,1.83
2026-05-22,5.65,2.08
2026-05-23,1.9,0.75
2026-05-24,5.1,0.71
2026-05-25,2.35,0.21
2026-05-26,4.71,3.33
2026-05-27,5.77,4.17
2026-05-28,6.81,4.17
2026-05-29,4.77,3.96
2026-05-30,1.88,1.58
2026-05-31,7.35,0.92
