날짜,DB숙소,국민체육센터,종합운동장,종합체육관,치악체육관
2026-05-01,23.92,21.86,20.34,23.33,18.67
2026-05-02,23.87,22.27,20.48,22.73,18.58
2026-05-03,23.07,22.35,20.15,22.55,18.54
2026-05-04,22.97,22.19,19.37,22.0,18.81
2026-05-05,23.17,22.47,19.37,21.61,17.77
2026-05-06,23.4,22.99,19.84,22.44,18.4
2026-05-07,23.5,23.05,20.51,22.12,18.41
2026-05-08,23.28,22.85,20.32,21.95,19.31
2026-05-09,23.38,22.77,20.28,21.54,19.96
2026-05-10,23.77,22.98,20.73,21.52,19.94
2026-05-11,23.52,23.19,21.02,22.01,21.49
2026-05-12,24.05,23.44,21.24,22.29,21.75
2026-05-13,24.59,23.87,21.7,22.47,21.41
2026-05-14,25.66,24.13,22.76,22.74,20.79
2026-05-15,26.45,24.38,23.76,22.94,21.84
2026-05-16,26.97,24.69,24.43,22.69,22.09
2026-05-17,27.33,24.88,24.96,22.67,21.66
2026-05-18,27.51,25.76,25.08,22.92,22.49
2026-05-19,27.19,25.3,25.15,23.38,22.6
2026-05-20,25.98,24.6,24.76,23.53,22.4
2026-05-21,24.97,23.81,23.36,23.06,21.17
2026-05-22,25.49,23.7,23.09,22.62,21.12
2026-05-23,25.11,23.96,22.98,22.41,21.47
2026-05-24,25.64,24.14,23.41,22.47,20.78
2026-05-25,26.87,25.18,24.28,22.64,21.08
2026-05-26,27.72,24.65,24.93,23.42,22.4
2026-05-27,27.31,24.67,25.06,23.24,22.82
2026-05-28,27.28,24.78,24.84,23.04,22.42
2026-05-29,27.51,24.87,24.45,23.07,22.78
2026-05-30,27.95,24.44,24.21,23.13,22.54
2026-05-31,28.51,24.46,24.58,23.02,22.68
