날짜,국민체육센터 1층,국민체육센터 2층,국민체육센터 지하
2026-05-01,22.58,23.41,22.33
2026-05-02,22.8,23.64,22.53
2026-05-03,22.72,23.21,22.8
2026-05-04,22.77,23.26,22.86
2026-05-05,22.76,23.33,22.76
2026-05-06,24.77,23.7,22.93
2026-05-07,23.15,24.13,23.13
2026-05-08,22.73,24.19,23.33
2026-05-09,21.62,23.99,23.36
2026-05-10,21.66,24.13,23.36
2026-05-11,22.99,24.12,23.59
2026-05-12,24.05,24.41,23.6
2026-05-13,24.83,24.87,23.89
2026-05-14,25.17,25.6,24.1
2026-05-15,25.51,26.28,24.41
2026-05-16,25.72,26.49,24.72
2026-05-17,26.0,26.93,24.9
2026-05-18,27.0,27.01,25.4
2026-05-19,26.95,27.04,25.34
2026-05-20,25.74,26.18,25.4
2026-05-21,24.59,25.35,25.29
2026-05-22,24.07,25.48,24.96
2026-05-23,22.76,24.59,24.84
2026-05-24,24.46,25.16,24.84
2026-05-25,25.49,25.85,24.93
2026-05-26,25.76,26.55,25.02
2026-05-27,26.25,26.47,25.37
2026-05-28,25.63,26.38,25.46
2026-05-29,25.67,26.44,25.48
2026-05-30,25.67,26.46,25.45
2026-05-31,25.91,26.9,25.49
